Sentence,IsDescription
Prepare documentation ISO NE interconnection process needed,1
Managing local impact analysis distribution interconnections Eversource distribution system task includes Review preparation Pre Application Report requests Review feasibility assessment support applications interconnection queue Interface work collaboratively internal external stakeholders as system planning transmission distribution line substation engineering asset management siting environmental permitting operations etc.,1
Verification technical feasibility soundness proposed plans utilizing industry accepted techniques Develop design solutions possible alternatives mitigate identified assessment criteria violations Conducts assessments develops options meet DER interconnections identifying key technical issues developing proposed alternative solutions,1
task includes Application industry corporate distribution planning standards conjunction regulations Federal State Local regulatory authorities Demonstrate complete ownership projects accountable overall project schedule,1
Participates Customer Calls defending technical findings,1
Provides weekly updates project deliverables,1
Assist preparing PAFs internal authorization forms present monthly meeting,1
Other supporting tasks include Represents department company various industry related committees,1
Serves specialized internal external cross functional teams necessary develop engineering solutions customer satisfaction,1
Manage approved inverter list,1
Reviewing UL certifications add inverters list approved models reference,1
Clearly effectively communicates results analyses action plans verbally writing internal external stakeholders,1
Performs emergent storm assignment needed times inclement weather adverse system conditions,1
Understanding electrical engineering concepts DG storage reliability load flow flicker stability short circuit voltage regulation transients power factor losses etc.,0
Technical understanding parameters functions used operation power delivery system as well power industry fundamentals practices standards,0
Knowledge experience using power system modeling simulation software steady state power flow voltage short circuit stability electromagnetic transients,0
Strong communication interpersonal presentation negotiation persuasion skills verbal written,0
Follow Eversources Codes Conduct Business Ethics Environmental Diversity Policies,0
Bachelors degree Electrical Engineering Power Systems related,0
Advanced degree preferred may count towards years experience,0
3 years related experience required experience electric utility preferred,0
EIT ProfessionalEngineers License preferred,0
EEO Statement Eversource Energy Equal Opportunity Affirmative Action Employer,0
qualified applicants receive consideration employment without regard age race color sex sexual orientation gender identity national origin religion disability status protected veteran status,0
VEVRRA Federal Contractor,0
Emergency Response Responding emergency situations meet customers needs part every employees role,0
employed given Emergency Restoration assignment,0
means may called assist emergency outside normal responsibilities work hours location,0
Support Cybersecurity Manager PMO efforts related cybersecurity tool suites COTS applications deployment DHRADMDC,0
Support cybersecurity applications meet variety security objectives DHRADMDC cloud infrastructure enterprise,0
Collaborate experienced team actively monitor report maintain network security posture prescribed CSSP Security Plan,0
Utilize knowledge one cybersecurity tools ACAS Tenable Security Center Nessus Endpoint Detection Response EDR ESSHBSS McAffee ePO Security Information Event Management SIEM,0
Coordinate Operations Customers team members,0
Assist senior engineers designing developing solutions deploying maintaining supporting cybersecurity tool suites,0
position support systems configuration within Department Defense DoD deploy maintain support cybersecurity tools,1
Configure set policies perform root cause analysis using standard tools troubleshoot issues,1
Assist cybersecurity reviews including generation security artifacts security plans POAMs security CONOPS,1
Work closely DMDC ISSM ISSOs ensure cybersecurity tools date compliant,1
DoD Secret clearance greater required,0
Active DoD 8570 IA baseline security certification IAT Level II,0
Bachelors degree related field,0
6 years relevant experience information technology cybersecurity,0
Relevant experience engineering one current cybersecurity tools hardwaresoftware security implementation ACAS HBSS Tanium Splunk or Knowledge,0
DoD cybersecurity policies practices requirements,0
Knowledge Computer Network Defense CND policies procedures regulations,0
Experience Linux system administration operating maintaining Linux systems andapplications hosted Linux environment,0
Windows fundamentals,0
Experience writingrunning scripts Bash Python,0
Knowledge ITIL processes plus Cloud computing certifications plus hybrid position,0
Qualified applicants receive consideration employment without regard race color sex sexual orientation gender identity religion national origin disability veteran status age marital status pregnancy genetic information legally protected status,0
Get know Purpose make bringing innovations market improve world share commitment sustainability makes planet better give back communities work live.,0
Get Experience collaborative environment teamwork celebrated flexibility enhances balance inclusive atmosphere welcoming all!,0
Have Opportunity chart course challenge yourself acquire new capabilities build rewarding fulfilling career.,0
reward employees competitive pay incentives recognize skills competencies contributions business results.,0
The Environmental Health Safety Center Excellence COE team DuPonts Operations Engineering corporate function seeking Fire Protection Engineering Consultant join us.,1
This individual would provide Fire Protection system expertise technical support manufacturing sites capital project teams ensure facilities employees businesses safe threat fire.,1
member project team Fire Protection Engineer expected network coordinate collaborate team members including engineering contractors discipline engineers deliver specifications detailed engineering documents related fire protection.,1
consultant existing facilities Fire Protection Engineer responsible performing fire safety evaluations including codestandards compliance reviews buildings industrial complexes determine risk fire explosions best prevent them.,1
Fire Protection Engineer also key member Global Fire Safety Competency responsible coaching training providing technical expertise needed less experienced engineers site fire safety resources engaged fire system review analysis.,1
Fire Protection Engineering preferred Chemical Engineering degree.,0
Fire protection system design knowledge 35 years experience chemical manufacturing industrial sector,0
Proven expertise NFPA standards interpretation guidance,0
Understanding competency fire safety fire protection systems including special hazards systems,0
Experience reading engineering design drawings PID PFD instrument diagrams etc.,0
Experience producing technical reports.,0
Knowledge fire safety management systems safeguarding facilities processes.,0
Knowledge general construction methods practices terminology.,0
Emergency Response Experience Emergency Response Management preferred High Hazard Operation Experience preferred,0
DuPont equal opportunity employer.,0
Qualified applicants considered without regard race color religion creed sex sexual orientation gender identity marital status national origin age veteran status disability protected class.,0
Grounded safety quality ethics experts lead fields guide work rigor creative spirit vision growth.,0
Were place apply passion collaborate top environmental talents work thats critical clients communities support.,0
Join team environment science.,0
Stantec place best brightest come build others talents exciting work make impact world around us.,0
Join us redefine personal best.,0
We seeking MidLevel Air Quality Professional join Air Quality Team.,1
Your Opportunity,1
successful candidate primarily assist managing complete projects assist clients air quality permitting air quality compliance reporting air dispersion modeling environmental compliance.,1
successful candidate assist identifying responding project opportunities execution air quality permitting compliance projects accordance Clean Air Act CAA federal state local regulations wide variety clients.,1
Categories Stantec serves include power utilities renewable energy oil gas food beverage higher education manufacturing metals mining real estate transportation.,1
Miscellaneous administrative tasks may required.,1
Position may filled Stantecs Eastern offices.,1
For candidates applicable skill sets educational background position could expanded include supporting role multimedia environmental compliance projects.,1
Tasks environmental compliance projects could include program assistance environmental laws regulations associated with limited to hazardous waste storm water Tier II reporting wastewater spill planning.,1
Your Key Responsibilities,1
Prepare reports compile appropriate forms air emission permit applications authorize construction modification operation facilities.,1
Prepare air emission calculations.,1
Identify applicable environmental regulations.,1
Assist preparing air dispersion modeling analyses using EPA guideline models.,1
Assist managing project tasks project teams meet clients scope schedule budget profit expectations.,1
Assist clients identifying appropriate monitoring planning training testing recordkeeping reporting protocols.,1
Assist development permitting compliance strategies projects.,1
technical resource teams working clients implement Federal Energy Regulatory Commission procedures applicable regulations.,1
Assist preparing proposals describing scope schedule estimated budget executing projects.,1
Assist organizing directing project teams wide variety clients air permitting environmental compliance tasks.,1
Provide quality assurancequality control project deliverables.,1
Potentially assist facility compliance tasks air quality hazardous waste storm water Tier II reporting TRI reporting wastewater spill planning etc.,1
Proficient policies procedures HSSE including clientspecific training leads example applies policies procedures appropriate work.,0
Solid skills technical writing.,0
Observing developing skills communications technical information exchange clients engineers scientists government regulators agencies academia well nontechnical communication public.,0
Able build strong relationships key clients respect technical area broader business objectives regions.,0
Builds maintains productive professional personal networking relationships.,0
Good driving record valid drivers license required.,0
least two years experience successfully executing technical aspects small medium projects,0
Bachelors degree Environmental Science related field.,0
Minimum 5 years related experience equivalent combination education .,0
advanced degree experience.,0
Typical office environment working computers remaining sedentary long periods time.,0
Field work may include exposure elements including inclement weather.,0
Ability lift move items equipment 50 lbs.,0
Stantec provides equal employment opportunities qualified employees applicants future current employment prohibit discrimination grounds race color religion sex national origin age marital status genetic information disability protected veteran status sexual orientation gender identity gender expression.,0
prohibit discrimination decisions concerning recruitment hiring referral promotion compensation fringe benefits job training terminations condition employment.,0
Stantec compliance local state federal laws regulations ensures equitable opportunities aspects employment.,0
EEO including DisabilityProtected Veterans,0
Position within Product Development organization focused design development structural high press die cast HPDC components support future body white BIW frame designs.,0
Work cross functional team comprised individuals manufacturing packaging attributes suppliers develop designs large structural castings.,0
Develop casting solutions efficient manufacture incorporate features functions multiple stamped parts leading reduced complexity assembly operations.,0
Address issues related achieving Noise Vibration Harshness NVH Durability Safety performance objectives.,0
Work closely analysis teams attributes develop efficient solutions problems identified.,0
Create design solutions aid development manufacturing process ensure part quality performance meet.,0
Provide CAD proposals support quick turnaround analysis required prove proposed design actions.,0
Work external suppliers Ford manufacturing team meet dimensional requirements casting component final assembly.,0
Sign designs prior milestone completion support component vehicle analysis prior production tool kick off.,0
Sign final parts assemblies prior builds certification testing production startup.,0
Support trouble shooting prototype production process supplier address part quality issues.,0
Support launch process castings investigation production issues development required design actions address issues needed.,0
Conduct industry benchmarking understand actions OEMs taking respect use HPDC components BIW Frame applications understand new technologies developed field suppliers.,0
Youll have... BS higher degree Mechanical Engineering Material Science 5 years Prior experience design high pressure die casting parts preferably structural applications.,0
strong understanding casting process development automotive body parts.,0
Knowledge secondary operations associated castings including limited trimming straightening quality checks.,0
Knowledge alloys used structural castings.,0
Ability design parts Catia NX.,0
Ability work production setting aid troubleshooting supplier equipment process.,0
Possess practical problemsolving skill ability address variety concrete variables situations limited standardization exists Microsoft Office experience 8D 5Why corrective action problemsolving skills DMAIC Project Methodology experience Understanding MAGMA casting simulation software.,0
experience CAE methods simulation NVH Durability Safety would beneficial.,0
You may check every box experience may look little different weve outlined think bring value Ford Motor Company encourage apply!,0
As established global company offer benefit choice.,0
choose Ford future look like story span globe keep close home?,0
career deep dive love series new teams new skills?,0
leader changemaker technical expert culture builder...or above?,0
matter choose offer work life works you including Immediate medical dental prescription drug coverage Flexible family care parental leave new parent rampup programs subsidized backup child care more Vehicle discount program employees family members management leases Tuition assistance Established active employee resource groups Paid time individual team community service generous schedule paid holidays including week Christmas New Years Day Paid time option purchase additional vacation time.,0
For detailed look benefits click here .com15tStcF4iuumSGhU4Bj7E?h3LQzuYsURArSzFRjEuJHcjYjQ4N7WViK6XNA1wSY9wQu,0
engineer position responsible developing design solutions large casting address needs vehicles going forward.,1
Support launch process castings investigation production issues development required design actions address issues needed.,1
Youll have... BS higher degree Mechanical Engineering Material Science 5 years Prior experience design high pressure die casting parts preferably structural applications.,0
strong understanding casting process development automotive body parts.,0
Knowledge secondary operations associated castings including limited trimming straightening quality checks.,0
Knowledge alloys used structural castings.,0
Ability design parts Catia NX.,0
Ability work production setting aid troubleshooting supplier equipment process.,0
Possess practical problemsolving skill ability address variety concrete variables situations limited standardization exists Microsoft Office experience 8D 5Why corrective action problemsolving skills DMAIC Project Methodology experience Understanding MAGMA casting simulation software.,0
experience CAE methods simulation NVH Durability Safety would beneficial.,0
Candidates positions Ford Motor Company must legally authorized work United States.,0
We Equal Opportunity Employer committed culturally diverse workforce.,0
qualified applicants receive consideration employment without regard race religion color age sex national origin sexual orientation gender identity disability status protected veteran status.,0
Candidates positions Ford Motor Company must legally authorized work United States.,0
Verification employment eligibility required time hire.,0
We Equal Opportunity Employer committed culturally diverse workforce.,0
qualified applicants receive consideration employment without regard race religion color age sex national origin sexual orientation gender identity disability status protected veteran status.,0
United States need reasonable accommodation online application process due disability please call 18883360660.,0
LIOnsite Requisition ID 15273,0
Civil Environmental Consultants Inc. (CEC) consistently ranked Engineering NewsRecord Top 200 Design Firm offering big firm opportunities small firm culture.,0
We help develop professionally and also provide opportunity to become owner firm share success.,0
We work on diverse projects providing high quality service to clients.,0
"In addition to offering company stock options, we provide matching 401k, profit sharing, and performance bonuses to employees.",0
"We offer medical, dental, vision insurance, short and long term disability, and tuition assistance to our employees.",0
Join our team where your contribution matters.,0
"Perform hydrologic hydraulic analysis, dam safety assessment, design compliance, and rehabilitation for water resource utility infrastructure.",1
Design stormwater facilities and stream restoration.,1
Conduct floodplain and drainage studies.,1
Perform HH modeling and engineering calculations.,1
Produce engineering drawings for a variety of water resources related projects.,1
"Interact with clients, contractors, and local government officials.",1
Impact the whole project from conceptual design phases to regulatory review process and bidding to construction.,1
Degree in Civil or Environmental Engineering.,0
6-8 years of experience in water resources projects.,0
"Experience in one of the following areas: hydrology, hydraulics, stormwater management, compliance, or dam safety engineering.",0
"Demonstrated experience in HECRAS, HECHMS, HydroCAD, and AutoCAD Civil 3D.",0
Experience in producing engineering drawings.,0
Writing skills for preparation of technical reports.,0
"Experience in unsteady flow and 2D hydraulic modeling preferred, but not required.",0
CEC is an equal opportunity affirmative action employer.,0
"We do not discriminate in recruiting, hiring, or promotion based on race, color, religion, sex (including sexual orientation, gender identity or expression, transgender status), national origin, age, disability, or protected veteran status, or any other basis or characteristic prohibited by applicable federal, state, or local law.",0
Leidos Innovations Center current opening TSSCI cleared Senior Systems Integration Engineer ProductionOM supporting clients mission centralize standardize Tasking Collection Processing Exploitation Dissemination TCPED Open Source Intelligence OSINT across DoD IC enterprise.,0
Were hiring exciting new Task Order commence July 2023.,0
Leidos exciting opening next Senior Systems Integration Engineer ProductionOM supporting DIANMEC 10year DOMEX Technology Platform DTP contract.,0
impact part mission focused solutions oriented adaptive team values innovation collaboration professional development.,0
work primarily conducted onsite client location Bethesda MD offer flexible schedule and occasionally tasks may performed remotely.,0
position responsible leading monitoring sustaining resolving handson Production environment well OM current NMEC systems spanning networks ranging full lifecycle data ingestion processing exploitation dissemination.,0
oversee integrating monitoring operational system resolve Production issues performing handson troubleshooting within DEV TEST environments apply corrections Production environment necessary change management processes completed.,0
Additionally provide support end users help desk ticketing systems coordinate application fixespatches Infrastructure team throughout environments multidomaincrossdomain.,0
As senior member team you also astakeholderin systems developedwithdeep expertise Systems Integration work closely withSystems Engineers Software Engineers Architects well Government counterpartsto ensure interoperability future systems support key tasks as Hands PROD system tier3 level support troubleshooting resolution System Analysis Design System Architecting System Integration CICD implementation System Operations Performance Analysis Decision Analysis Resolution.,0
Bachelors Degree engineering field accredited university 12 years prior relevant experience Masters 10 years prior relevant experience,0
Must possess Active Top Secret clearance ability obtain TSSCI CI Poly,0
Experience handson . writing scripts CLI investigations configuration updates etc.,0
troubleshooting repairing hardware software systems,0
Operating monitoring complex systems subsystems,0
Handson experience working within technology platforms ElasticSearch Kubernetes cluster storage systems etc.,0
writing codescripts . python,0
Experience CICD pipelines deployments . handson experience container image repos,0
Experience data processing data management,0
Experience managing tools authenticationauthorization mechanisms software deployed across multiple domains,0
Strong understanding System Integration activities data sharing data standards management cloudbased systems,0
Experience leading technical efforts taking initiative developing solutions leaning forward addressing challenges obstacles.,0
In addition deep understanding following System database data stores network administration optimization Multidomaincross domain architectures Operational mission support systems Cybersecurity implementation environment Development collection performance metrics including KPIs Agile processes techniques Kanban,0
privileged user access PUA include minimum active COMPTIA Security certification.,0
Help Desk implementation operation staffing communications Scaled Agile Framework certification SAFe Agilist,0
Experience supporting DIANMEC D3P ITIL experience certification OSINT familiarity NMECDTP,0
Pay Range Pay Range 118 182 245 The Leidos pay range job level general guideline onlyand guarantee compensation salary.,0
Additional factors considered extending offer include but limited to responsibilities job education experience knowledge skills abilities well internal equity alignment market data applicable bargaining agreement if any law.,0
REQNUMBER R00113258,0
CACI seeking Senior Storage Engineer join team support intelligence customer Arnold MO .,0
team responsible developing maintaining agency wide Platform Service PaaS capabilities deployed across multiple security domains utilizing Agile scrum methodologies.,0
Tailoring cuttingedge solutions unique requirements clients support multiple tenants deploy myriad application stacks data services.,0
part something greater make lasting impact CACI.,0
Responsibilities Duties Design architect configure deploy upgrade support various storage backup platforms associated management tools.,1
Diagnose troubleshoot storage systems related technologies.,1
Adhere engineering architecture standards participate technical review meetings required.,1
Participate evaluation deployment management integration new technologies alignment engineers architects technical service lanes.,1
Incident support participation oncall rotation hours weekends.,1
Create maintain documentation logicalphysical diagrams run books technical engineering documents.,1
Oversee Installation new storage hardware software according standard operating procedures.,1
Oversees updates hardware operating systems software needed provide required functionality security.,1
Ensures systems monitored statistics relevant capacity performance utilization etc. collected regularly reviewed.,1
Keeps abreast current developments storage backup technology assist Federal staff assessing future direction storage backup technology.,1
What Bring TSSCI Active BS degree 8 years related experience equivalent combination.,0
Hands engineering experience NetApp storage technologies concepts Experience SAN NAS iSCSI storage implementations Experience capacity planning sizing storage backup environments.,0
Experience performance tuning optimizing storage backup environments.,0
Experience data center migrations storage replication technologies Senior level experience design development implementation maintenance largescale systems preferably across multiple hardware platforms data centers.,0
Strong understanding high availability concepts practical experience implementation key components storage environment.,0
Strong understanding fundamental hardware concepts disk memory CPU NIC HBA firmware RAID performance concepts IO paging swapping system calls iSCSI Fiber Channel Ethernet.,0
Strong understanding essential TCPIP concepts TCP UDP ICMP SMTP SNMP LDAP DNS NTP etc.,0
Understanding security best practices federal hardening requirements FISMA STIG etc.,0
CompTIA Security similar IAT Level II DoD 8570 certification,0
Proficient written oral communication skills.,0
Strong collaborative attitude ability work team environment.,0
Ability take direction.,0
Desired Qualifications Skills NetApp Certification PowerShellPython scripting experience Experience leveraging scripts audit enforce configuration standards.,0
Amazon Web Services C2S experience.,0
Company Overview CACI opportunity make immediate impact providing information solutions services support national security missions government transformation Intelligence Defense Federal Civilian customers.,0
CACI Equal OpportunityAffirmative Action Employer.,0
qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran protected characteristic.,0
successful candidate provide engineering expertise benefiting automation engineering activities enhance production Highway Design plans fulfill mission Making Lives Better Transportation.,0
need talented passionate people working together make happen.,0
looking grow teams people share energy enthusiasm making mission reality every single day.,0
Flexible hybrid work schedules available.,0
must continually evaluated Design Automation Engineer ensure elements computed accurately according AASHTO IDOT design specifications standards.,0
Embraces encourages culture thrives innovative ideas leading changes result effective process project improvements.,0
offer YOU Competitive pay benefits package including health dental flexible spending life insurance Insurance benefits start first month following 30 days employment Monthly insurance premium Iowa Choice Single 54mo. employee share 715mo. state share Family 180mo. employee share 1. state share Other insurance options available.,0
Opportunities professional growth development,0
Paid time effective immediately,0
Biweekly vacation separate sick leave accruals rollover yearly basis,0
10 paid holidays per year,0
Employee Discount Programs variety vendors vision cellular fitness recreation season passes travel counseling legal financial,0
looking something new? Apply today!,0
The Design Bureau looking hire fulltime Design Automation Engineer Transportation Engineer Specialist.,1
The purpose position located within Methods Section Design Bureau provide automation expertise specialized areas information technology including BIM networking implementation hardware software systems integration.,1
Responsibilities include Collaborate numerous stakeholders develop innovative transportation improvement plans.,1
Work tam 13 experts Methods Team consisting Automation Standards Design Manual Americans Disabilities ADA group.,1
Provide expert recommendations designers house staff throughout Districts Consultants.,1
Act lead worker four members automation group oversee CADD systems Design Bureau.,1
Assess automation needs Design Bureau hardware software using engineering knowledge experience judgement determine cost effective solutions maintaining integrity productivity tools.,1
Design software superelevation geometrics cross sections earthwork volumes etc.,1
Coordinate automation efforts within Design Bureau well offices.,1
Attend conferences seminars classes maintain expand engineering skills knowledge.,1
Minimum Qualification Requirements Applicants must meet least one following minimum requirements qualify positions job classification 1 following a b a. Licensure professional engineer andb. Two years fulltime professional work experience transportation engineering civil following a b c a. Licensure professional engineer andb. One year fulltime professional work experience transportation engineering civil engineering andc. Graduation accredited college university masters degree chemical civil construction environmental materials structural transportation engineering engineering management field closely related transportation Current continuous experience state executive branch includes one year fulltime work Transportation additional information please click link view job description .,0
Additional Qualification Requirements Prior appointment applicants must possess active licensure professional engineer Iowa Engineering Land Surveying Examining Board.,0
Salary 73 113 Annually Location Ames 50010 Story County IA,0
Job Type Fulltime,0
Job Number 2304044 Agency 645 Iowa Department Transportation,0
Opening Date 05252023,0
Closing Date 6152023 11 59 PM Central,0
Point Contact Stuart Nielsen .us,0
Please review . Download PDF reader .comreader Download PDF reader .comreader,0
require reasonable accommodation completing application interviewing completing preemployment testing otherwise participating employee selection process please direct inquiries following email Reasonable accommodation as interpreter translator written materials modified equipment devices ADA access etc.,0
include scheduling needs.,0
Prior appointment applicants must possess active licensure professional engineer Iowa Engineering Land Surveying Examining Board.,0
Come Explore Us Terracons next Sr. Geotechnical Transportation Engineer!,0
Review drawings construction assure compliance plans specifications.,0
Lead safety efforts team ensure team follows safety rules guidelines.,0
Promote pretask planning projects.,0
Promote continuous quality monitoring improvement projects.,0
Monitor quality standards practices.,0
Develop understanding aware projectrelated risk protect Company.,0
Provide leadership marketing sales business development.,0
Terracon 100 percent employeeowned consulting engineering firm providing quality services clients.,0
Since 1965 Terracon evolved successful multidiscipline firm specializing environmental facilities geotechnical materials services.,0
Terracon currently 5 000 employees 150 offices services available 50 states.,0
Terracons growth due valued employees exceeding expectations client service growing careers new exciting opportunities marketplace.,0
Based eligibility role job status offer many programs including medical dental vision life insurance 401k plan paid time holidays education reimbursement various bonus programs.,0
EEO Statement Terracon EEO employer.,0
encourage qualified minority female veteran disabled candidates apply considered open positions.,0
Job Category Engineering,0
The ideal candidate provide geotechnical transportation designbuild engineering consulting services transportation related projects clients.,1
may include performing leading field investigations engineering analysis calculations recommendations observation inspection writing preparation review related geotechnical engineering reports services provided.,1
Responsible creating modeling safe work environment demonstrating safety practices.,1
Promote continuous quality monitoring improvement projects.,1
Develop understanding aware projectrelated risk protect Company.,1
Senior level engineering professional providing technical direction required production completion routine unique complex projects.,1
Plan schedule conduct coordinates engineering work involving conventional engineering practices may include a variety of complex features conflicting design requirements.,1
Provide review projects requiring complex innovative investigation techniques supervise analysis formulation recommendations written reports clients provides technical review reports.,1
Lead technical training make informed decisions based upon stateofthe art technology issues.,1
Supervise less experienced engineers technical support personnel projects.,1
Serve Authorized Project Reviewer.,1
Bachelors degree Engineering.,0
Minimum 811 years experience.,0
Masters degree Engineering preferred.,0
Professional Engineer PE registration.,0
Valid drivers license acceptable violation history.,0
Exemption Exempt,0
Requisition ID 24460BR,0
Posting Title Senior Geotechnical Transportation Engineer,0
Employment Type Regular Full Time,0
City State Office Location Mountlake Terrace WA,0
About Terracon,0
EEO Statement Terracon EEO employer.,0
We encourage qualified minority female veteran disabled candidates apply considered open positions.,0
We do not discriminate applicant employment employee race color religion national origin age sex sexual orientation gender identity gender disability age military status.,0
State Salary Range Minimum 111200,0
State Salary Range Maximum 172400,0
Expected Salary Range The expected salary range position listed below.,0
base range may adjusted based specific location applicant.,0
Final agreed upon compensation based upon individual qualifications experience.,0
We Lockheed Martin Aeronautics .,0
Whats You 3 day weekends every weekend ! !,0
From comprehensive benefits investing future security,0
Learn Lockheed Martins comprehensive benefits package .,0
With employees priority provide diverse career opportunities designed propel develop boost agility .,0
flexible schedules competitive pay comprehensive benefits enable employees live healthy fulfilling life outside work .,0
place emphasis empowering employees fostering inclusive environment built upon integrity corporate responsibility .,0
If sounds like culture connect with invited apply role .,0
Or unsure whether experience aligns requirements position encourage search Lockheed Martin Jobs apply roles align qualifications .,0
Who Are In Systems Engineering position work variety development areas including product development supplier management design qualification integration test flight test support verification production field support .,1
The ideal candidate excellent oral written communication analytical skills .,1
ability convey technical data concepts concise messages presentations desired .,1
Experience Level Experienced Professional Business Unit AERONAUTICS COMPANY Relocation Available Possible Career Area Systems Engineering Requirements Development Type Full Time Shift First,1
Basic Qualifications Bachelors degree STEM related technical field equivalent relevant work experience,0
Desired Skills Bachelors degree Electrical Engineering Computer Engineering strongly preferred Past experience product development applications avionics development desired .,0
Technical experience leading multiple team members system product Experience leading technical team in avionics development plus .,0
Proficient Microsoft Office products including spreadsheet scheduling database applications Experience aerospace related educationbackground .,0
System performance monitoring evaluation experience .,0
Control Account Management CAM Earned Value experience plus Experience proposal preparation support estimation,0
Security Clearance Statement position requires government security clearance must US Citizen consideration .,0
Clearance Level Secret Investigation CV date within 5 years,0
Other Important Information Know Expression Interest applying job expressing interest position could considered career opportunities similar skills requirements identified match .,0
match identified may contacted future openings .,0
Lockheed Martin Equal OpportunityAffirmative Action Employer .,0
qualified applicants receive consideration employment without regard race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status disability status .,0
At Lockheed Martin use passion purposeful innovation help keep people safe solve worlds complex challenges .,0
people greatest minds industry truly make Lockheed Martin great place work .,0
Ability Work Remotely Onsite Full time work associated position performed onsite designated Lockheed Martin facility .,0
Work Schedules Lockheed Martin supports variety alternate work schedules provide additional flexibility employees .,0
Schedules range standard 40 hours five day work week others may condensed .,0
condensed schedules provide employees additional time away office addition Paid Time benefits .,0
